diagnosis_code,diagnosis_category
E03,Disorders of thyroid gland
E04,Disorders of thyroid gland
E05,Disorders of thyroid gland
E06,Disorders of thyroid gland
E07,Disorders of thyroid gland
E08,Endocrine Disorders
E09,Endocrine Disorders
E10,Endocrine Disorders
E11,Endocrine Disorders
E12,Endocrine Disorders
E13,Endocrine Disorders
E14,Endocrine Disorders
E15,Endocrine Disorders
E16,Endocrine Disorders
E17,Endocrine Disorders
E18,Endocrine Disorders
E19,Endocrine Disorders
E20,Disorders of other endocrine glands
E21,Disorders of other endocrine glands
E22,Disorders of other endocrine glands
E23,Disorders of other endocrine glands
E24,Disorders of other endocrine glands
E25,Disorders of other endocrine glands
E26,Disorders of other endocrine glands
E27,Disorders of other endocrine glands
E28,Disorders of other endocrine glands
E29,Disorders of other endocrine glands
E30,Disorders of other endocrine glands
E31,Disorders of other endocrine glands
E32,Disorders of other endocrine glands
E33,Disorders of other endocrine glands
E34,Disorders of other endocrine glands
E35,Disorders of other endocrine glands
E36,Endocrine Complications and Sequelae
E37,Endocrine Complications and Sequelae
E38,Endocrine Complications and Sequelae
E39,Endocrine Complications and Sequelae
E40,Malnutrition
E41,Malnutrition
E42,Malnutrition
E43,Malnutrition
E44,Malnutrition
E45,Malnutrition
E46,Malnutrition
E47,Other disorders of thyroid
E48,Other disorders of thyroid
E50,Nutritional Disorders:
E51,Nutritional Disorders:
E52,Nutritional Disorders:
E53,Nutritional Disorders:
E54,Nutritional Disorders:
E55,Nutritional Disorders:
E56,Nutritional Disorders:
E57,Nutritional Disorders:
E58,Nutritional Disorders:
E59,Nutritional Disorders:
E60,Nutritional Disorders:
E61,Nutritional Disorders:
E62,Nutritional Disorders:
E63,Nutritional Disorders:
E64,Nutritional Disorders:
E65,Nutritional Disorders:
E66,Nutritional Disorders:
E67,Nutritional Disorders:
E68,Nutritional Disorders:
E69,Nutritional Disorders:
E70,Metabolic disorders
E71,Metabolic disorders
E72,Metabolic disorders
E73,Metabolic disorders
E74,Metabolic disorders
E75,Metabolic disorders
E76,Metabolic disorders
E77,Metabolic disorders
E78,Metabolic disorders
E79,Metabolic disorders
E80,Metabolic disorders
E81,Metabolic disorders
E82,Metabolic disorders
E83,Metabolic disorders
E84,Metabolic disorders
E85,Metabolic disorders
E86,Metabolic disorders
E87,Metabolic disorders
E88,Metabolic disorders
E89,Metabolic disorders
E90,Metabolic disorders
E91,Immune and Inflammatory Disorders
E92,Immune and Inflammatory Disorders
E93,Endocrine Complications and Sequelae
E94,Endocrine Complications and Sequelae
E95,Sequelae of Other Conditions
E96,Sequelae of Other Conditions
E97,Sequelae of Other Conditions
E98,Sequelae of Other Conditions
E99,Sequelae of Other Conditions
F00,"Organic, including symptomatic, mental disorders"
F01,"Organic, including symptomatic, mental disorders"
F02,"Organic, including symptomatic, mental disorders"
F03,"Organic, including symptomatic, mental disorders"
F04,"Organic, including symptomatic, mental disorders"
F05,"Organic, including symptomatic, mental disorders"
F06,"Organic, including symptomatic, mental disorders"
F07,"Organic, including symptomatic, mental disorders"
F08,"Organic, including symptomatic, mental disorders"
F09,"Organic, including symptomatic, mental disorders"
F10,Mental and behavioural disorders due to psychoactive substance use
F11,Mental and behavioural disorders due to psychoactive substance use
F12,Mental and behavioural disorders due to psychoactive substance use
F13,Mental and behavioural disorders due to psychoactive substance use
F14,Mental and behavioural disorders due to psychoactive substance use
F15,Mental and behavioural disorders due to psychoactive substance use
F16,Mental and behavioural disorders due to psychoactive substance use
F17,Mental and behavioural disorders due to psychoactive substance use
F18,Mental and behavioural disorders due to psychoactive substance use
F19,Mental and behavioural disorders due to psychoactive substance use
F20,"Schizophrenia, schizotypal and delusional disorders"
F21,"Schizophrenia, schizotypal and delusional disorders"
F22,"Schizophrenia, schizotypal and delusional disorders"
F23,"Schizophrenia, schizotypal and delusional disorders"
F24,"Schizophrenia, schizotypal and delusional disorders"
F25,"Schizophrenia, schizotypal and delusional disorders"
F26,"Schizophrenia, schizotypal and delusional disorders"
F27,"Schizophrenia, schizotypal and delusional disorders"
F28,"Schizophrenia, schizotypal and delusional disorders"
F29,"Schizophrenia, schizotypal and delusional disorders"
F30,Mood [affective] disorders
F31,Mood [affective] disorders
F32,Mood [affective] disorders
F33,Mood [affective] disorders
F34,Mood [affective] disorders
F35,Mood [affective] disorders
F36,Mood [affective] disorders
F37,Mood [affective] disorders
F38,Mood [affective] disorders
F39,Mood [affective] disorders
F40,"Neurotic, stress-related and somatoform disorders"
F41,"Neurotic, stress-related and somatoform disorders"
F42,"Neurotic, stress-related and somatoform disorders"
F43,"Neurotic, stress-related and somatoform disorders"
F44,"Neurotic, stress-related and somatoform disorders"
F45,"Neurotic, stress-related and somatoform disorders"
F46,"Neurotic, stress-related and somatoform disorders"
F47,"Neurotic, stress-related and somatoform disorders"
F48,"Neurotic, stress-related and somatoform disorders"
F49,Unspecified mental disorder
F50,Behavioural syndromes associated with physiological disturbances and physical factors
F51,Behavioural syndromes associated with physiological disturbances and physical factors
F52,Behavioural syndromes associated with physiological disturbances and physical factors
F53,Behavioural syndromes associated with physiological disturbances and physical factors
F54,Behavioural syndromes associated with physiological disturbances and physical factors
F55,Behavioural syndromes associated with physiological disturbances and physical factors
F56,Behavioural syndromes associated with physiological disturbances and physical factors
F57,Behavioural syndromes associated with physiological disturbances and physical factors
F58,Behavioural syndromes associated with physiological disturbances and physical factors
F59,Behavioural syndromes associated with physiological disturbances and physical factors
F60,Disorders of adult personality and behaviour
F61,Disorders of adult personality and behaviour
F62,Disorders of adult personality and behaviour
F63,Disorders of adult personality and behaviour
F64,Disorders of adult personality and behaviour
